no,user_diet,food_name,food_cal,food_carbo,food_protein,food_provi,summary,image
1,NORMAL,"흑미밥,얼큰버섯전골,계란찜,미역줄기볶음",475,66,19,16,다양한 식품을 선택하여 체내에서의 역할이 다른 여러 영양소를 균형있게 섭취해야 합니다.,https://image.greating.co.kr/IL/item/202303/15/B_32FEBD2BEBE14130814FA4D4A84D6802.jpg
2,NORMAL,"제육볶음,계란찜,연근조림,상추쌈,쌈장",310,31,18,12,식사는 일상생활의 원동력이므로 하루에 세끼를 규칙적으로 하고 즐거운 식사를 통하여 생활의 안정을 얻는 것이 중요합니다.,https://image.greating.co.kr/IL/item/202306/29/B_C8C1739D363045CAA9BCA1B6E2CDFDD0.jpg
3,NORMAL,"쌀밥,짬뽕국,두부강정,팽이버섯볶음",710,85,20,32,"덜 짜게, 덜 달게, 덜 기름지게 먹어야 합니다.",https://image.greating.co.kr/IL/item/202307/21/B_7B035957EF494672B86FCD4ACDCD85FC.jpg
4,NORMAL,"숙주소불고기,두부조림,무나물,멸치볶음,샐러드",355,18,17,24,"열량만 많이 있는 단 음식, 자극성이 많은 청량음료 등의 섭취는 절제해야 합니다.",https://image.greating.co.kr/IL/item/202401/18/B_B697EBF9137F4C11A8D96C18B20EF33A.jpg
5,NORMAL,"무생채볶음밥,우삼겹된장찌개,계란후라이",470,69,16,14.9,"과식을 피하고, 활동량을 늘려서 건강체중을 유지하세요. ",https://image.greating.co.kr/IL/item/202303/15/B_24775A58358A4902871383EC41A5DEDE.jpg
6,NORMAL,"쉬림프파스타,닭바베큐조림,구운채소,샐러드,당근라페",285,27,18,12,다양한 식품을 선택하여 체내에서의 역할이 다른 여러 영양소를 균형있게 섭취해야 합니다.,https://image.greating.co.kr/IL/item/202311/20/B_9D619B2B492949F0904A482FB070A4E9.jpg
7,NORMAL,"떡볶이,샐러드",310,75,15,3,식사는 일상생활의 원동력이므로 하루에 세끼를 규칙적으로 하고 즐거운 식사를 통하여 생활의 안정을 얻는 것이 중요합니다.,https://image.greating.co.kr/IL/item/202210/14/B_BB360A376A30400BB72CA6F5F02B4798.jpg
8,NORMAL,"돼지불고기,쭈꾸미볶음,감자조림,무비트생채,샐러드",315,37,16,12,"덜 짜게, 덜 달게, 덜 기름지게 먹어야 합니다.",https://image.greating.co.kr/IL/item/202309/07/B_92E28C2B496A43FA9344F58F687D7923.jpg
9,NORMAL,"마파두부덮밥,돼지고기짜장볶음,가지볶음,구운채소,샐러드",295,26,11,16,"열량만 많이 있는 단 음식, 자극성이 많은 청량음료 등의 섭취는 절제해야 합니다.",https://image.greating.co.kr/IL/item/202309/27/B_AAFB6DFE7ABD476C9C10EF093ED2F841.jpg
10,NORMAL,"돼지고기김치찜,두부숙주볶음,감자채볶음,샐러드,콩조림",350,30,16,19,"과식을 피하고, 활동량을 늘려서 건강체중을 유지하세요. ",https://image.greating.co.kr/IL/item/202303/22/B_BFFDBD664F614E16932BDA6EA9B27283.jpg
11,EXERCISE,"쌀밥,돼지고기콩비지찌개,완자전,어묵볶음",570,86,29,11.8,체력 증진을 위해 단백질 섭취가 필요합니다.,https://image.greating.co.kr/IL/item/202303/15/B_99A6752C323A4A83982905A05E276DF5.jpg
12,EXERCISE,"쌀밥,불고기전골,대파스크램블,멸치볶음",530,78,24,17,단백질은 사람의 몸을 구성하는 데 없어서는 안될 핵심 성분입니다.,https://image.greating.co.kr/IL/item/202308/09/B_862CBC48B7154A01B2BEE585ECA330AF.jpg
13,EXERCISE,"쌀밥,소불고기,버섯볶음,강된장,돼지감자장아찌,양배추쌈",525,76,24,16,단백질 식품은 탄수화물 식품에 비해 위에 남아 있는 시간이 길어서 포만감을 길게 유지시켜 줍니다.,https://image.greating.co.kr/IL/item/202303/29/B_4833F8BFA2244377A9C16DE2E4AA60C6.jpg
14,EXERCISE,"꼬마김밥,치킨강정",805,117,22,27,하루에 1.5L이상의 물을 꾸준히 마실 것을 추천합니다.,https://image.greating.co.kr/IL/item/202306/19/B_7144906637B94E178A58442277EA4D48.jpg
15,EXERCISE,"곤드레밥,코다리조림,사골국",715,120,37,10,고단백 식단은 좋지만 여기에 휩쓸려 무탄수 식단으로 가지 않도록 조심하세요.,https://image.greating.co.kr/IL/item/202306/08/B_5D7622BD37A346BA84A11E9D5E197E8D.jpg
16,EXERCISE,"쌀밥,우거지해장국,부추전,김치볶음",515,80,25,11,체력 증진을 위해 단백질 섭취가 필요합니다.,https://image.greating.co.kr/IL/item/202303/15/B_CBD1E2265F104EB2A12B861717D1B7D5.jpg
17,EXERCISE,"소고기볶음밥,샐러드,닭가슴살부추무침",530,70,20,19,단백질은 사람의 몸을 구성하는 데 없어서는 안될 핵심 성분입니다.,https://image.greating.co.kr/IL/item/202306/05/B_AED61428AAB84B32A2466B1BACD90836.jpg
18,EXERCISE,"포크구이,닭가슴살볶음,무나물,겨자부추무침,샐러드",300,25,22,13,단백질 식품은 탄수화물 식품에 비해 위에 남아 있는 시간이 길어서 포만감을 길게 유지시켜 줍니다.,https://image.greating.co.kr/IL/item/202308/11/B_59118ABFD3CA493594E034B844486698.jpg
19,EXERCISE,"열무보리비빔밥,닭곰탕",530,84,24,11,하루에 1.5L이상의 물을 꾸준히 마실 것을 추천합니다.,https://image.greating.co.kr/IL/item/202307/20/B_013D85C8AED64CE9B0793BA914FBC262.jpg
20,EXERCISE,"곤드레밥,닭갈비,콩나물국,계란후라이,김",710,108,37,14,고단백 식단은 좋지만 여기에 휩쓸려 무탄수 식단으로 가지 않도록 조심하세요.,https://image.greating.co.kr/IL/item/202303/16/B_181E505B1BB044BCAC4B985034DF1473.jpg
21,KITO,"연어구이,구운채소",251,15.9,28.2,8.3,탄수화물 섭취를 제한하면 식욕을 자극하는 호르몬 분비가 줄어들어 식욕 억제 효과가 있습니다.,https://img.danawa.com/prod_img/500000/855/692/img/12692855_1.jpg?_v=20201116143756
22,KITO,"닭고기구이,시저샐러드",329,17.8,27.6,29.1,극단적인 탄수화물의 제한과 높은 지방 섭취량으로 인한 영양 불균형을 조심하세요.,https://gdimg1.gmarket.co.kr/goods_image2/shop_moreimg/282/148/2821482790/2821482790_05.jpg?ver=1701674776
23,KITO,"고등어구이,야채쌈",158,9,12.1,17.1,키토식단을 시작하기 전에 건강한 지방과 건강하지 않은 지방의 차이를 이해하는 것이 중요합니다.,https://mblogthumb-phinf.pstatic.net/MjAxODExMjBfMTc3/MDAxNTQyNjg2MjY0MDA1.0sh-MeV5Kv-MIWS6ERi6J1jf-8gAj8j-982Sc9hf4Ssg.h6FRqhp00zig2BE7BQR16PN8x5UW7Tkp20wA8w8ExX4g.JPEG.ha2moang/1542686257797.jpg?type=w800
24,KITO,"소고기스테이크,아보카도,구운채소",483,21.8,34.5,26.7,"키토식단을 오래 유지하게 된다면, 배고픔이 전보다 드물게 느껴지며 설탕 또는 탄수화물에 대한 갈증이 사라질 것입니다.",https://img.freepik.com/premium-photo/balanced-lunch-medium-roast-beef-steak-grilled-zucchini-and-couscous-avocado-spinach-salad-on-a-dark-background-top-view_624178-370.jpg
25,KITO,"키토김밥,당근라페",256,18.2,13.8,19.6,개인의 건강 상태를 고려하여 건강한 식습관을 만드는 것이 중요합니다.,https://mblogthumb-phinf.pstatic.net/MjAyMzA4MjVfMjQ1/MDAxNjkyOTYyOTQyNzI2.8HQ-pAz0mdI_ioBvs2Eng0jcB6L4z76qWdBLPVCeldAg.mBHxZp-IFavrLjUj03t5jJ_JoxqYxINab195uoPMevog.JPEG.witchyoli/1692962915465.jpg?type=w800
26,KITO,"삽겹살,된장찌개,샐러드",689,24.7,28.4,43.3,탄수화물 섭취를 제한하면 식욕을 자극하는 호르몬 분비가 줄어들어 식욕 억제 효과가 있습니다.,https://i20.tcafe2a.com/1908/20190815032433_716438f3b4d34a0eba6049f557632ce1_q80u.jpg
27,KITO,"계란말이,낫또,샐러드",177,19.5,23.8,26.3,극단적인 탄수화물의 제한과 높은 지방 섭취량으로 인한 영양 불균형을 조심하세요.,https://mblogthumb-phinf.pstatic.net/MjAxODAxMTdfNiAg/MDAxNTE2MTE3MTYwNTI2.m9qsw2u3N1Bj9iAtj6Ev04aEgRLzorgN6JJr4b1VU4gg.lXTTlJxYWVTHQiYkT76GT55PiWqfMrBMoZvOSJMOHpUg.JPEG.baby0817/NOT%ED%86%A0-%EB%82%98%EB%98%90-%EC%B8%84%EC%B8%84SS10.jpg?type=w800
28,KITO,"타코,과카몰리",398,31.7,21.7,28.4,키토식단을 시작하기 전에 건강한 지방과 건강하지 않은 지방의 차이를 이해하는 것이 중요합니다.,https://mblogthumb-phinf.pstatic.net/MjAyMjA0MDVfMjQ4/MDAxNjQ5MDg3OTk2NDEy.RoWpqbn2pUxtsAilEbNGzrRRT06cllJPF-JZ9NHl9Kog.DB6evh1NBzolIlJMSp9zFlObsaTw3nY6R495IC_43wIg.JPEG.jimini0_0/IMG_3623.JPG?type=w800
29,KITO,"연어,아보카도샌드위치",334,22.2,27,13.9,"키토식단을 오래 유지하게 된다면, 배고픔이 전보다 드물게 느껴지며 설탕 또는 탄수화물에 대한 갈증이 사라질 것입니다.",https://previews.123rf.com/images/okkijan/okkijan1611/okkijan161100110/68386262-%EC%99%80%EC%9D%B8-%ED%81%AC%EB%A6%BC-%EC%B9%98%EC%A6%88-%ED%9B%88%EC%A0%9C-%EC%97%B0%EC%96%B4%EC%99%80-%EC%95%84%EB%B3%B4%EC%B9%B4%EB%8F%84-%EC%83%8C%EB%93%9C%EC%9C%84%EC%B9%98%EC%99%80-%EC%98%AC%EB%A6%AC%EB%B8%8C-%EB%82%98%EB%AC%B4-%EB%B3%B4%EB%93%9C%EC%97%90-%EB%A7%9B%EC%9E%88%EB%8A%94-%EC%A0%84%EC%B1%84-%EB%B0%9D%EC%9D%80-%EB%B0%B0%EA%B2%BD.jpg
30,KITO,"돼지갈비,브로콜리샐러드",544,19,42,37.7,개인의 건강 상태를 고려하여 건강한 식습관을 만드는 것이 중요합니다.,https://media.istockphoto.com/id/1227514213/ko/%EC%82%AC%EC%A7%84/%EB%B8%8C%EB%A1%9C%EC%BD%9C%EB%A6%AC%EC%99%80-%ED%8C%8C%EC%9D%B8%EC%95%A0%ED%94%8C%EB%A1%9C-%EA%B5%AC%EC%9A%B4-%ED%95%A0%EB%9D%BC%ED%94%BC%EB%87%A8-%EB%8F%BC%EC%A7%80%EA%B3%A0%EA%B8%B0-%EA%B0%88%EB%B9%84.jpg?s=612x612&w=0&k=20&c=vMhJxTcd05faqBtPs_Y6ip3BuRhjVQXdpaKwosfV-gw=
31,VEGAN,"쌀밥,두부유산슬,가지볶음,샐러드,연근",475,60,14,20,"비건 식단에서는 동물성 식품을 제외한 식물성 식품만을 섭취함으로, 적절한 영양소 섭취가 중요합니다.",https://image.greating.co.kr/IL/item/202210/05/B_BCC9F6C9D6154FBC9401D0FCB3E87B96.jpg
32,VEGAN,"김치볶음밥,크림스튜,피클,샐러드",415,61,13,13,비건 식단을 따르면서 적절한 영양소를 섭취하기 위해서는 식사 준비를 꼼꼼하게 해야 합니다.,https://image.greating.co.kr/IL/item/202307/28/B_4CB486DE5DDB4048ACC29BFEDA4BC30B.jpg
33,VEGAN,"쌀밥,병아리콩커리,샐러드,청포도",470,68,17,15,개인의 건강 상태와 식습관에 맞는 비건식단을 선택하는 것이 중요합니다.,https://image.greating.co.kr/IL/item/202303/22/B_410E02D996A64CA39959D6D0F2FBB8BB.jpg
34,VEGAN,"쌀밥,마파가지덮밥,스크램블에그,피클,샐러드",540,58,15,28,비건 식단을 시작하는 사람들은 충분한 정보와 지식을 가지고 시작해야 합니다.,https://image.greating.co.kr/IL/item/202401/11/B_D1FCEE11F4F640048A7290F35334DC40.jpg
35,VEGAN,"들깨크림파스타,두부강정,피클,샐러드",690,100,17,24,식물 위주의 식단은 영양분과 산화 방지 성분이 풍부하여 에너지를 보충할 수 있습니다.,https://image.greating.co.kr/IL/item/202204/22/B_4E402D51571F471099F05EB914FB2D6E.jpg
36,VEGAN,"잡채덮밥,두부,피클,샐러드",510,74,23,17,"비건 식단에서는 동물성 식품을 제외한 식물성 식품만을 섭취함으로, 적절한 영양소 섭취가 중요합니다.",https://image.greating.co.kr/IL/item/202309/20/B_5B84B3A26D9E4D3BB190E72AECAEC45E.jpg
37,VEGAN,"쌀밥,강된장,표고버섯무나물,콩나물볶음,채소",565,101,13,12,비건 식단을 따르면서 적절한 영양소를 섭취하기 위해서는 식사 준비를 꼼꼼하게 해야 합니다.,https://image.greating.co.kr/IL/item/202310/18/B_C91998EAEFE0479C966467B1A8DE0491.jpg
38,VEGAN,"베지미트볼,파스타",385,58,12,13,개인의 건강 상태와 식습관에 맞는 비건식단을 선택하는 것이 중요합니다.,https://image.greating.co.kr/IL/item/202210/18/1CB44F6EB6204F1C91EAEF46BA070CE7.jpg
39,VEGAN,"베지함박스테이크,구황작물구이",420,27,13,30,비건 식단을 시작하는 사람들은 충분한 정보와 지식을 가지고 시작해야 합니다.,https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/18654269/1659667264154.png?gif=1&w=720&h=480&c=c
40,VEGAN,"짬뽕덮밥,두부탕수",430,63,9,18,식물 위주의 식단은 영양분과 산화 방지 성분이 풍부하여 에너지를 보충할 수 있습니다.,https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/18654269/1659667470146.png?gif=1&w=720&h=480&c=c
