번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모
115,관광식당,07_24_01_P,5070000,CDFI3261042016000001,2016-12-12,,1,영업/정상,13,영업중,,,,,054-821-1056,,,경상북도 안동시 상아동 513-1번지,경상북도 안동시 석주로 203 (상아동),36611,까치구멍집,2016-12-15 13:28,I,2018-08-31 23:59,,357293.1614,343278.6397,관광식당업,,,,,,경북관광협회 지정 제라-13-72호,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,관광식당,07_24_01_P,4610000,CDFI3261041988000001,1988-09-13,,1,영업/정상,13,영업중,,,,,,,340-924,"충청남도 예산군 덕산면 신평리 163-1번지 163-3, 191-9",,,뉴가야관광호텔,2002-12-23 10:43,I,2018-08-31 23:59,,169769.9666,354736.0226,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,관광식당,07_24_01_P,5590000,CDFI3261042010000001,2010-06-14,,1,영업/정상,13,영업중,,,,,859-1302,,482-060,경기도 양주시 덕정동 350-84번지,경기도 양주시 덕정길 4  (덕정동),11450,덕화원,2010-06-21 14:19,I,2018-08-31 23:59,,205435.2776,482382.8463,관광식당업,,주거지역,,주택가주변,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,관광식당,07_24_01_P,3820000,CDFI3261042017000003,2017-08-25,,1,영업/정상,13,영업중,,,,,031-853-7601,,,경기도 의정부시 금오동 474-5번지,"경기도 의정부시 청사로48번길 25, 2,3층 (금오동, 아웃백스테이크하우스금오점)",11757,아웃백스테이크하우스 금오점,2017-08-30 13:55,I,2018-08-31 23:59,,206223.0029,472296.5741,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,관광식당,07_24_01_P,3820000,CDFI3261042017000001,2017-05-26,,1,영업/정상,13,영업중,,,,,031-826-5550,,,경기도 의정부시 호원동 50-2,"경기도 의정부시 외미로 100, 2층 205호 (호원동, 회룡타운)",11638,메이찬,2022-12-14 10:15,U,2022-12-16 2:40,,204023.1973,469064.9397,관광식당업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
120,관광식당,07_24_01_P,3820000,CDFI3261042017000002,2017-07-28,,1,영업/정상,13,영업중,,,,,,,,경기도 의정부시 호원동 119-35번지,경기도 의정부시 호암로 85-8 (호원동),11645,락궁,2017-08-02 9:58,I,2018-08-31 23:59,,204097.0382,467316.7259,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,관광식당,07_24_01_P,3820000,CDFI3261042004000001,2004-05-14,,1,영업/정상,13,영업중,,,,,846-5742,,480-843,경기도 의정부시 의정부동 201-11번지 (1층),경기도 의정부시 평화로 564 (의정부동),11692,팔가,2011-10-30 14:03,I,2018-08-31 23:59,,204086.8858,471086.0229,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,관광식당,07_24_01_P,3820000,CDFI3261042006000001,2006-04-03,,1,영업/정상,13,영업중,,,,,846-2047,,480-843,경기도 의정부시 의정부동 196-14번지,경기도 의정부시 호국로1298번길 78  (의정부동),,지동관,2009-08-03 18:23,I,2018-08-31 23:59,,204184.1939,470833.3358,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,관광식당,07_24_01_P,3140000,CDFI3261042004000001,2004-11-11,,1,영업/정상,13,영업중,,,,,,,158-715,서울특별시 양천구 목동 923-1번지 방송회관,,,주)63시티방송회관클럽백리향,2004-12-07 15:41,I,2018-08-31 23:59,,188525.0779,447159.1734,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,관광식당,07_24_01_P,3140000,CDFI3261042004000002,2004-11-11,,1,영업/정상,13,영업중,,,,,,,158-050,서울특별시 양천구 목동 923-5번지,서울특별시 양천구 목동동로 233  (목동),7995,(주)63시티방송회관클럽백리향,2005-05-07 12:25,I,2018-08-31 23:59,,188572.1087,447198.9126,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,관광식당,07_24_01_P,3140000,CDFI3261042016000001,2016-12-13,,1,영업/정상,13,영업중,,,,,,,,서울특별시 양천구 신월동 427-2번지,서울특별시 양천구 월정로 65 (신월동),7929,미스차이나,2019-01-14 13:57,U,2019-01-16 2:40,,185869.9826,447025.8364,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,관광식당,07_24_01_P,5590000,CDFI3261042019000001,2019-02-28,,1,영업/정상,13,영업중,,,,,031-867-1007,,,경기도 양주시 은현면 선암리 522-2번지,경기도 양주시 은현면 은현로 7,11427,대륙짬뽕,2019-02-22 16:44,I,2019-02-24 2:21,,201803.5228,485283.2772,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,관광식당,07_24_01_P,6520000,CDFI3261041997000001,1997-02-11,,1,영업/정상,13,영업중,,,,,738-0500,,697-301,제주특별자치도 서귀포시 상예동 144번지,제주특별자치도 서귀포시 상예로 381  (상예동),,대유식당,2003-03-04 16:08,I,2018-08-31 23:59,,143586.4218,-24099.04944,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,관광식당,07_24_01_P,4170000,CDFI3261042003000001,2003-03-25,,1,영업/정상,13,영업중,,,,,,,476-922,경기도 양평군 강하면 전수리 17-3번지,경기도 양평군 강하면 강남로 489,,힐하우스,2003-03-25 14:09,I,2018-08-31 23:59,,238838.6324,444911.1303,관광식당업,관광사업,주거지역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,관광식당,07_24_01_P,4170000,CDFI3261042003000002,2003-03-25,,1,영업/정상,13,영업중,,,,,,,476-922,경기도 양평군 강하면 전수리 17-3번지,경기도 양평군 강하면 강남로 489,,스완레스토랑,2003-03-25 14:10,I,2018-08-31 23:59,,238838.6324,444911.1303,관광식당업,관광사업,주거지역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,관광식당,07_24_01_P,4170000,CDFI3261042003000003,2003-03-25,,1,영업/정상,13,영업중,,,,,,,476-922,경기도 양평군 강하면 전수리 16-3번지,경기도 양평군 강하면 강남로 489,,아미고,2003-03-25 14:11,I,2018-08-31 23:59,,238867.8536,444902.9732,관광식당업,관광사업,주거지역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,관광식당,07_24_01_P,4070000,CDFI3261042001000001,2001-12-06,,1,영업/정상,13,영업중,,,,,637-6334,,467-866,경기도 이천시 부발읍 아미리 726-29번지,,,로마광광나이트,2006-06-08 11:51,I,2018-08-31 23:59,,243394.2977,416797.164,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,관광식당,07_24_01_P,4140000,CDFI3261042005000001,2005-07-18,,1,영업/정상,13,영업중,,,,,,,486-904,경기도 연천군 전곡읍 전곡리 305-4번지,경기도 연천군 전곡읍 전곡역로 61,11034,명신반점,2013-12-31 16:39,I,2018-08-31 23:59,,206054.4625,502378.1483,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,관광식당,07_24_01_P,3070000,CDFI3261042003000001,2003-10-07,,1,영업/정상,13,영업중,,,,,02-953-4652,,136-075,서울특별시 성북구 안암동5가 104-221,서울특별시 성북구 인촌로26길 51 (안암동5가),2856,갑천하,2021-06-17 16:03,U,2021-06-19 2:40,,202599.4411,453516.3786,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,관광식당,07_24_01_P,3070000,CDFI3261042006000001,2006-12-04,,1,영업/정상,13,영업중,,,,,02-928-3344,,136-034,서울특별시 성북구 동소문동4가 230,서울특별시 성북구 동소문로13가길 16 (동소문동4가),2832,청도,2021-06-17 16:03,U,2021-06-19 2:40,,200994.3611,454403.3505,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,관광식당,07_24_01_P,3070000,CDFI3261042007000001,2007-03-02,,1,영업/정상,13,영업중,,,,,02-929-7050,,136-075,서울특별시 성북구 안암동5가 86-185번지,서울특별시 성북구 인촌로28길 17  (안암동5가),,미스터왕,2013-01-21 11:00,I,2018-08-31 23:59,,202659.5185,453711.1808,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,관광식당,07_24_01_P,3070000,CDFI3261042007000002,2007-03-13,,1,영업/정상,13,영업중,,,,,02-923-3888,,136-075,서울특별시 성북구 안암동5가 101-66,서울특별시 성북구 개운사길 21-3 (안암동5가),136-075,화원,2021-06-17 16:05,U,2021-06-19 2:40,,202481.8946,453888.7978,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,관광식당,07_24_01_P,3070000,CDFI3261042008000001,2008-03-31,,1,영업/정상,13,영업중,,,,,02-923-9577,,136-075,서울특별시 성북구 안암동5가 134-35,서울특별시 성북구 안암로 69-1 (안암동5가),2855,고려성,2021-06-17 16:05,U,2021-06-19 2:40,,202477.8292,453373.5106,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,관광식당,07_24_01_P,3070000,CDFI3261042008000004,2008-07-15,,1,영업/정상,13,영업중,,,,,02-921-9982,,136-075,서울특별시 성북구 안암동5가 102-59,서울특별시 성북구 인촌로24길 27 (안암동5가),2856,베나레스,2021-06-17 16:05,U,2021-06-19 2:40,,202540.3144,453625.7347,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,관광식당,07_24_01_P,3070000,CDFI3261041998000001,1998-11-23,,1,영업/정상,13,영업중,,,,,02-762-1448,,136-822,서울특별시 성북구 성북동 산 5-1,서울특별시 성북구 북악산로 637 (성북동),2821,곰의집,2021-06-17 16:04,U,2021-06-19 2:40,,200400.1292,454940.9427,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,관광식당,07_24_01_P,3020000,CDFI3261042008000003,2008-12-29,,1,영업/정상,13,영업중,,,,,749-3336,,140-863,서울특별시 용산구 이태원동 116-15번지 지상1층,"서울특별시 용산구 이태원로27가길 50  (이태원동,지상1층)",,새골목집,2009-08-07 9:48,I,2018-08-31 23:59,,199268.8253,448094.819,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,관광식당,07_24_01_P,3020000,CDFI3261042008000005,2008-09-29,,1,영업/정상,13,영업중,,,,,2012-0567,,140-780,서울특별시 용산구 한강로3가 40-999번지 현대아이파크몰 5층 514,,,쿠아타이,2009-08-07 9:57,I,2018-08-31 23:59,,196762.0774,447480.0396,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,관광식당,07_24_01_P,3020000,CDFI3261042010000001,2010-02-16,,1,영업/정상,13,영업중,,,,,02-3270-7533,,140-170,서울특별시 용산구 동자동 43-205번지 3층 301호,,,티원(T-Won),2010-12-21 19:37,I,2018-08-31 23:59,,197373.8399,450014.5379,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,관광식당,07_24_01_P,3020000,CDFI3261042009000012,2009-09-28,,1,영업/정상,13,영업중,,,,,749-0446,,140-892,서울특별시 용산구 한남동 683-122번지 지상1층,"서울특별시 용산구 이태원로 232  (한남동,지상1층)",,니시키,2009-10-13 9:11,I,2018-08-31 23:59,,199883.7126,448151.5267,관광식당업,,,,,,,,,,,,Nisiki,,,,,,,,,,,,,,,,,,,,,,
144,관광식당,07_24_01_P,3020000,CDFI3261042009000013,2009-11-04,,1,영업/정상,13,영업중,,,,,,,140-858,서울특별시 용산구 이태원동 127-3번지,서울특별시 용산구 이태원로 190  (이태원동),,판쵸스,2009-11-18 10:42,I,2018-08-31 23:59,,199501.6629,448010.1259,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,관광식당,07_24_01_P,3020000,CDFI3261042009000014,2009-11-04,,1,영업/정상,13,영업중,,,,,,,140-887,서울특별시 용산구 한남동 653-1번지 지상1층,"서울특별시 용산구 대사관로 52  (한남동,지상1층)",,취룡,2009-11-18 10:45,I,2018-08-31 23:59,,200270.9817,447892.8659,관광식당업,,,,,,,,,,,,chui ryong,,,,,,,,,,,,,,,,,,,,,,
146,관광식당,07_24_01_P,3020000,CDFI3261042009000015,2009-11-04,,1,영업/정상,13,영업중,,,,,,,140-031,서울특별시 용산구 이촌동 300-23번지,서울특별시 용산구 이촌로 248  (이촌동),,르어 이촌점,2009-11-18 10:47,I,2018-08-31 23:59,,197722.571,446344.5912,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,관광식당,07_24_01_P,3020000,CDFI3261042008000006,2008-09-29,,1,영업/정상,13,영업중,,,,,7020424,,140-851,서울특별시 용산구 원효로4가 137번지,서울특별시 용산구 효창원로 4  (원효로4가),,(주)테크데이타 원효로지점 포이삽사,2009-08-07 9:59,I,2018-08-31 23:59,,195563.789,447943.3447,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,관광식당,07_24_01_P,3020000,CDFI3261042008000007,2008-09-08,,1,영업/정상,13,영업중,,,,,2012-0696,,140-780,서울특별시 용산구 한강로3가 40-999번지 현대아이몰 6층,,,경풍루,2009-08-07 10:01,I,2018-08-31 23:59,,196762.0774,447480.0396,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,관광식당,07_24_01_P,3020000,CDFI3261042008000008,2008-07-21,,1,영업/정상,13,영업중,,,,,553-9000,,140-858,서울특별시 용산구 이태원동 124-12번지 지하1층,"서울특별시 용산구 이태원로27나길 36  (이태원동,지하1층)",,빌라소르티노,2009-08-07 10:04,I,2018-08-31 23:59,,199632.9596,448092.468,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,관광식당,07_24_01_P,3020000,CDFI3261042008000009,2008-07-02,,1,영업/정상,13,영업중,,,,,,,140-864,서울특별시 용산구 이태원동 172-2번지 덕흥빌딩 지하1층,"서울특별시 용산구 이태원로 153  (이태원동,덕흥빌딩 지하1층)",,아그라,2009-08-07 10:08,I,2018-08-31 23:59,,199134.1045,448041.6985,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,관광식당,07_24_01_P,3020000,CDFI3261042008000010,2008-06-14,,1,영업/정상,13,영업중,,,,,795-6751,,140-884,서울특별시 용산구 한남동 263-10번지,서울특별시 용산구 독서당로 73  (한남동),,웨스턴차이나,2009-08-07 10:54,I,2018-08-31 23:59,,200693.6525,447995.8319,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,관광식당,07_24_01_P,3020000,CDFI3261042008000012,2008-06-10,,1,영업/정상,13,영업중,,,,,798-9277,,140-858,서울특별시 용산구 이태원동 127-2번지 지상2층,"서울특별시 용산구 이태원로 192  (이태원동,지상2층)",,두바이,2009-08-07 10:58,I,2018-08-31 23:59,,199520.2804,448012.0475,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,관광식당,07_24_01_P,3020000,CDFI3261042008000013,2008-04-25,,1,영업/정상,13,영업중,,,,,798-1253,,140-884,서울특별시 용산구 한남동 732-151번지,서울특별시 용산구 우사단로10길 45  (한남동),,와즈완,2009-08-07 11:01,I,2018-08-31 23:59,,199761.5165,447856.1861,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,관광식당,07_24_01_P,3020000,CDFI3261042008000014,2008-03-31,,1,영업/정상,13,영업중,,,,,793-8845,,140-857,서울특별시 용산구 이태원동 228-6번지 지상4층,"서울특별시 용산구 회나무로 57  (이태원동,지상4층)",,마오,2009-08-07 11:03,I,2018-08-31 23:59,,199303.3886,448682.6196,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,관광식당,07_24_01_P,3020000,CDFI3261042008000015,2008-02-01,,1,영업/정상,13,영업중,,,,,749-9287,,140-863,서울특별시 용산구 이태원동 118-20번지 지상2층,"서울특별시 용산구 이태원로27가길 54  (이태원동,지상2층)",,마이차이나,2009-08-07 11:05,I,2018-08-31 23:59,,199246.9413,448082.3966,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,관광식당,07_24_01_P,3020000,CDFI3261042009000001,2009-04-23,,1,영업/정상,13,영업중,,,,,749-0903,,140-201,서울특별시 용산구 이태원동 457-1번지 지하1층,"서울특별시 용산구 녹사평대로40길 48  (이태원동,지하1층)",,베를린,2009-08-05 15:46,I,2018-08-31 23:59,,198905.8666,448018.8637,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,관광식당,07_24_01_P,3020000,CDFI3261041996000001,1996-12-24,,1,영업/정상,13,영업중,,,,,796-5501,,140-899,서울특별시 용산구 후암동 340-5번지,서울특별시 용산구 두텁바위로60길 25  (후암동),,모글인테내셔날(파키스탄),2009-08-24 14:10,I,2018-08-31 23:59,,198418.6003,449786.822,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,관광식당,07_24_01_P,3020000,CDFI3261041997000001,1997-12-26,,1,영업/정상,13,영업중,,,,,580-8122,,140-861,서울특별시 용산구 이태원동 534번지,서울특별시 용산구 녹사평대로 206  (이태원동),,이탈리아노(이태리식),2009-08-24 14:12,I,2018-08-31 23:59,,198813.1642,448200.2462,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,관광식당,07_24_01_P,3020000,CDFI3261041999000001,1999-12-24,,1,영업/정상,13,영업중,,,,,796-4100,,140-890,"서울특별시 용산구 한남동 762-162번지 1,2층",,,세종식당(한국전통식),2009-08-24 14:16,I,2018-08-31 23:59,,,,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,관광식당,07_24_01_P,3020000,CDFI3261042001000001,2001-06-02,,1,영업/정상,13,영업중,,,,,790-2322,,140-884,서울특별시 용산구 한남동 722-16번지,,,남해숫불갈비(한국전통식),2009-08-24 16:43,I,2018-08-31 23:59,,200371.94,448388.684,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,관광식당,07_24_01_P,3020000,CDFI3261042002000001,2002-08-02,,1,영업/정상,13,영업중,,,,,793-4888,,140-863,서울특별시 용산구 이태원동 116-14번지,서울특별시 용산구 이태원로27가길 52  (이태원동),,파타야,2009-08-18 10:58,I,2018-08-31 23:59,,199250.4279,448098.7581,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,관광식당,07_24_01_P,3020000,CDFI3261042002000002,2002-06-28,,1,영업/정상,13,영업중,,,,,797-0752,,140-884,서울특별시 용산구 한남동 28-9번지,서울특별시 용산구 독서당로 83  (한남동),,챠크라,2009-08-18 11:00,I,2018-08-31 23:59,,200786.752,448027.7172,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,관광식당,07_24_01_P,3020000,CDFI3261042002000003,2002-03-26,,1,영업/정상,13,영업중,,,,,3461-1462,,140-893,서울특별시 용산구 한남동 737-24번지 3층,"서울특별시 용산구 이태원로 223  (한남동,3층)",,(주) 타이가든,2009-08-18 11:02,I,2018-08-31 23:59,,199801.9572,448135.576,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,관광식당,07_24_01_P,3020000,CDFI3261042002000004,2002-03-05,,1,영업/정상,13,영업중,,,,,794-3182,,140-887,서울특별시 용산구 한남동 657-43번지 2층,"서울특별시 용산구 대사관로 45-1  (한남동,2층)",,메르하바,2009-08-18 11:04,I,2018-08-31 23:59,,200218.8182,447935.9845,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,관광식당,07_24_01_P,3020000,CDFI3261042006000001,2006-12-28,,1,영업/정상,13,영업중,,,,,795-2402,,140-882,서울특별시 용산구 한강로3가 60번지,서울특별시 용산구 한강대로 52-1  (한강로3가),,북경,2009-08-07 16:00,I,2018-08-31 23:59,,196808.0811,447019.9147,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,관광식당,07_24_01_P,3020000,CDFI3261042006000002,2006-12-07,,1,영업/정상,13,영업중,,,,,796-6457,,140-887,서울특별시 용산구 한남동 631-15번지,서울특별시 용산구 대사관로30길 11-6  (한남동),,현경한남점,2009-08-07 16:02,I,2018-08-31 23:59,,200448.9388,447808.592,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,관광식당,07_24_01_P,3020000,CDFI3261042007000001,2007-11-06,,1,영업/정상,13,영업중,,,,,790-7754,,140-858,서울특별시 용산구 이태원동 124-9번지,서울특별시 용산구 이태원로 203  (이태원동),,알리바바,2009-08-07 11:07,I,2018-08-31 23:59,,199628.2844,448063.0808,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,관광식당,07_24_01_P,3020000,CDFI3261042007000002,2007-10-12,,1,영업/정상,13,영업중,,,,,792-0872,,140-853,서울특별시 용산구 이촌동 300-16번지,서울특별시 용산구 이촌로88길 8  (이촌동),,파챠이,2009-08-07 15:45,I,2018-08-31 23:59,,197965.0841,446221.6907,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,관광식당,07_24_01_P,3020000,CDFI3261042007000003,2007-09-19,,1,영업/정상,13,영업중,,,,,7937784,,140-863,서울특별시 용산구 이태원동 119-7번지,서울특별시 용산구 이태원로 173-7  (이태원동),,사이공그릴,2009-08-07 15:47,I,2018-08-31 23:59,,199331.944,448070.2162,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
